NumLoc,DistrictForMap,lat,lon,LocalityName,pop2015,waste2015,EstimatedWaste,ProjectPower,FactPower,DeficitPowerBurial,DeficitPowerProcessing,Norm
1,Арсеньев,"44,160577","133,263581",Арсеньевский городской округ,53543,"27,6","27320,33",49104,0,0,"27320,33","1,15 м3 (259 кг) на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом; 1,5 м3 (450 кг) на одного человека в год - для населения в частном секторе (индивидуальный жилищный фонд)."
2,Артем,"43,355177","132,195359",Артемовский городской округ,122909,"45,5","54953,4",0,0,"54953,4","54953,4",Не утверждались.
3,Большой камень,"43,111962","132,35012",Городской округ ЗАТО Большой Камень,41177,"19,5","19949,33",16000,0,"3949,33","19949,33","1,7 м3 (450 кг) на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом; 1,5 м3 (450 кг) на одного человека в год - для населения в частном секторе (индивидуальный жилищный фонд)."
4,Владивосток,"43,170877","131,916926",Владивостокский городской округ,656160,"154,4",395918,345300,129540,50618,266378,"Решением Ленинского районного суда г. Владивостока по заявлению Приморского межрайонного природоохранного прокурора признаны противоречащими закону и недействующими со дня вступления в силу решения суда нормативы накопления бытовых отходов, установленные постановлением администрации города Владивостока от 17.01.2003 №72."
5,Дальнегорск,"44,559538","135,575824",Дальнегорский городской округ,52778,"17,7","22276,47",0,0,"22276,47","22276,47","1, 00 м3 (225 кг) на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом;  1,5 м3 (450 кг) на одного человека в год - для населения в частном секторе (индивидуальный жилищный фонд)."
6,Дальнереченск,"45,911503","133,742025",Дальнереченский городской округ,58868,22,"14754,73",0,0,"14754,73","14754,73","1,6 м3/ чел в год, в том числе крупногабаритного мусора – 0,15 6 м3/ чел"
7,Лесозаводск,"45,465999","133,405695",Лесозаводский городской округ,52387,"28,8","22022,47",0,0,"22022,47","22022,47",Не утверждались.
8,Находка,"42,824505","132,892157",Находкинский городской округ,157690,"70,8","78273,79",53600,0,"24673,79","78273,79","1, 64 м3 (337 кг) на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом; 1,5 м3 на одного человека в год - для населения в частном секторе (индивидуальный жилищный фонд)."
9,Партизанск,"43,119432","133,123974",Партизанский городской округ,53653,"47,4","22639,62",11000,0,"11639,62","22639,62", 
10,Спасск-дальний,"44,597672","132,817179",Городской округ Спасск-Дальний,42020,"23,1","21340,72",20000,0,"1340,72","21340,72", 
11,Уссурийск,"43,797466","131,955048",Уссурийский городской округ,220292,"59,1","91966,01",63807,4255,"28159,01","87711,01",Отменены в 2010 году
12,Фокино,"42,973097","132,408759",Городской округ ЗАТО г. Фокино,39847,"18,9","15549,05",6400,0,"9149,05","15549,05","Г. Фокино – 1,7 м3 (350 кг)  на 1 человека в год. п. Дунай – 1,15 м3 (259 кг)  на 1 человека в год."
13,Анучинский район,"43,9577","133,055666",Анучинский муниципальный район,14613,"4,1",8500,0,0,8500,8500, 
14,Дальнереченский район,"45,849913","134,051118",Дальнереченский муниципальный район,9362,"3,9","5370,3",0,0,"5370,3","5370,3","Малиновское сельское поселение - 3,0 м3 в год/чел – жилые дома неблагоустроенного фонда (сбор и вывоз ТБО); 4,0 м3 в год/чел – частные домовладения (сбор и вывоз ТБО); 0,2 м3 в год/чел – частные домовладения (сбор и вывоз крупногабаритных отходов). Ореховское сельское поселение — 1,6 м3 в год/чел ТБО, в том числе крупногабаритного мусора – 0,15 м3 в год/чел ТБО."
15,Кавалеровский район,"44,269069","135,057195",Кавалеровский муниципальный район,24947,12,"12454,02",0,0,"12454,02","12454,02",Не утверждались.
16,"Приморский край, Кировский район","45,089613","133,505916",Кировский муниципальный район,20363,"12,9","10161,13",2692,0,"7469,13","10161,13","Для жилого сектора не установлены (только для объектов общественного назначения, торговых и культурно-бытовых учреждений)."
17,"Красноармейский район, Приморский край, Россия","45,853","135,5021",Красноармейский муниципальный район,18989,"7,5","8807,42",0,0,"8807,42","8807,42","1, 00 м3 (225 кг) на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом; 1,5 м3 (450 кг) на одного человека в год - для населения в частном секторе (индивидуальный жилищный фонд)."
18,Лазовский район,"43,384971","133,904961",Лазовский муниципальный район,12639,"9,5","6785,67",0,0,"6785,67","6785,67", 
19,"Приморский край, Михайловский район","43,924891","132,00352",Михайловский муниципальный район,33710,"12,2","16445,64",0,0,"16445,64","16445,64", 
20,Надеждинский район,"43,371886","131,992644",Надеждинский муниципальный район,39160,"11,3","19058,6",0,0,"19058,6","19058,6","0,90 м3 (190 кг) на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом; (в зависимости от числа проживающих: 1 человек (м2) – 0, 25 м3, 2 человека (м2) – 0,04 м3, 3 человека (м2) – 0,05м3, 4 человека (м2) – 0,065 м3). 1,0 м3 (300 кг) на одного человека в год - для населения в частном секторе (индивидуальный жилищный фонд). (в зависимости от числа проживающих: 1 человек (м2) – 0, 0275 м3, 2 человека (м2) – 0,044 м3, 3 человека (м2) – 0,055м3, 4 человека (м2) – 0,072 м3)."
21,"Приморский край, Октябрьский район","43,9454","131,6357",Октябрьский муниципальный район,29930,"10,5","14246,73",0,0,"14246,73","14246,73","С. Новогеоргиевка - 1, 00 м3 (225 кг) на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом; 30,6 с 1 человека - для населения в частном секторе (индивидуальный жилищный фонд). С. Галенки - 1, 00 м3 (225 кг) на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом; 1,5 м3 (450 кг) на одного человека в год - для населения в частном секторе (индивидуальный жилищный фонд)."
22,Ольгинский район,"43,742758","135,28552",Ольгинский муниципальный район,10381,"4,2","5080,08",0,0,"5080,08","5080,08","0,08 м3 в месяц (0,96 м3 в год) на одного человека"
23,Партизанский район,"42,895648","133,07719",Партизанский муниципальный район,30238,"12,3","14689,64",0,0,"14689,64","14689,64",Не утверждались.
24,Пограничный район,"44,411028","131,375646",Пограничный муниципальный район,13203,9,"11331,31",0,0,"11331,31","11331,31",Не утверждались.
25,Пожарский район,"46,444528","134,304436",Пожарский муниципальный район,29802,"11,8","14924,07",0,0,"14924,07","14924,07","Для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом: в городах - 1,15 м3 (259 кг); в районах края – 1,0 м3 (225 кг). Прочие жилые дома: 1,5 м3 (450 кг)"
26,Спасский район,"44,694707","132,868645",Спасский муниципальный район,30476,"11,8","14536,46",0,0,"14536,46","14536,46","Из 8 сельских поселений утверждены в одном – Хвалынском сельском поселении: Частный жилой сектор – 1,7 м3 (410 кг) на 1 чел в год; Многоквартирные жилые дома – 1,18 м3 (330 кг) на 1 чел в год;"
27,Тернейский район,"45,053377","136,610341",Тернейский муниципальный район,11874,"9,2",6700,2100,0,4600,6700,Не утверждались.
28,Ханкайский район,"44,741828","132,046633",Ханкайский муниципальный район,22273,"14,1","11750,24",0,0,"11750,24","11750,24", 
29,Хасанский район,"42,860321","131,39239",Хасанский муниципальный район,34396,"18,2","16996,23",0,0,"16996,23","16996,23", 
30,"Приморский край, Хорольский район","44,419428","132,077794",Хорольский муниципальный район,29655,"12,3","14505,62",0,0,"14505,62","14505,62",Не утверждались.
31,"Приморский край, Черниговский район","44,343531","132,576636",Черниговский муниципальный район,41861,"13,7","17333,92",0,0,"17333,92","17333,92",Не утверждались.
32,"Приморский край, Чугуевский район","44,157906","133,860155",Чугуевский муниципальный район,24939,"8,6","11808,48",0,0,"11808,48","11808,48",Для населения не установлены.
33,Шкотовский район,"43,150537","132,463261",Шкотовский муниципальный район,24446,"9,3","11923,99",0,0,"11923,99","11923,99","1,00 м3 на одного человека в год - для населения, проживающего в жилых зданиях, оборудованных водопроводом, канализацией, центральным отоплением и газом; 1,5 м3 на одного человека в год - для населения в частном секторе (индивидуальный жилищный фонд)."
34,Яковлевский район,"44,426123","133,475543",Яковлевский муниципальный район,16008,"7,2","7641,16",0,0,"7641,16","7641,16",Не утверждались.
