NumDump,DumpName,DumpLocFull,AreaGA,DumpRegion,DumpLoc,latitude,longitude
64,Свалка ТКО с.Галенки,ст.Галенки,1,Октябрьский муниципальный район,Галенки,"44,043165","131,762128"
65,свалкаТКО ст.Галенки ,ст.Галенки,1,Октябрьский муниципальный район,Галенки,"44,043165","131,762128"
72,Свалка,ст. Липовцы,"0,5",Октябрьский муниципальный район,Липовцы,"44,197943","131,718533"
85,Свалка ТКО с. Зеленодольское,"Спасский район,с. Зеленодольское",1,Спасский муниципальный район,Зеленодольское,"44,919103","133,071999"
86,Свалка с. Кронштадтка,"Спасский район, с. Кронштадка",1,Спасский муниципальный район,Кронштадка,"44,724411","133,099924"
84,Свалка ТКО ст. Свиягино ,"Спасский район, между с. Чкаловка и ж/д ст. Свиягино",2,Спасский муниципальный район,Чкаловка,"44,836584","133,045215"
83,Свалка ТКО  с. Вишневка ,"Спасский муниципальный район, с. Вишневка, в конце ул. Октябрьская ",1,Спасский муниципальный район,Вишневка,"44,455685","132,860166"
62,свалка ТКО с. Ивановка,свалка ТКО с.Ивановка,"1,5",Михайловский муниципальный район,Ивановка,"43,965007","132,47946"
15,Свалка ,с.Шекляево,"0,5",Анучинский муниципальный район,Шекляево,"44,082192","133,15519"
109,Свалка ТКО с. Чугуевка,"с.Чугуевка, ул.Кустарная, дом 40",12,Чугуевский муниципальный район,Чугуевка,"44,164586","133,86556"
23,Свалка ,с.Чернышевка,"1,5",Анучинский муниципальный район,Чернышевка,"44,200147","133,131592"
113,Свалка ТКО с. Черниговка ,"С.Черниговка, ул. Первомайская на ЮЗ",2,Черниговский муниципальный район,Черниговка,"44,335693","132,585003"
16,Свалка ,с.Таежка ,"0,5",Анучинский муниципальный район,Таежка ,"44,099813","133,223518"
21,Свалка ,с.Староварваровка ,3,Анучинский муниципальный район,Староварваровка ,"43,886101","132,929058"
19,Свалка ,с.Смольное ,1,Анучинский муниципальный район,Смольное ,"43,850936","132,909923"
124,свалка,с.Светлогорье,"3,5",Пожарский муниципальный район,Светлогорье,"46,861501","134,44421"
20,Свалка ,с.Рисовое ,2,Анучинский муниципальный район,Рисовое ,"44,220726","133,116132"
13,Свалка ,с.Пухово,"1,2",Анучинский муниципальный район,Пухово,"44,20056","133,264084"
123,свалка,с.Пожарское,2,Пожарский муниципальный район,Пожарское,"46,253655","134,063809"
14,Свалка ,с.Новогордеевка ,1,Анучинский муниципальный район,Новогордеевка ,"44,034145","133,143872"
122,свалка,с.Нагорное,1,Пожарский муниципальный район,Нагорное,"46,33761","134,387347"
121,свалка,с.Красный Яр,"1,2",Пожарский муниципальный район,Красный Яр,"46,541065","135,361462"
17,Свалка ,с.Ильмаковка ,"1,5",Анучинский муниципальный район,Ильмаковка ,"43,744679","132,964523"
120,свалка,с.Игнатьевка,1,Пожарский муниципальный район,Игнатьевка,"46,40617","134,134947"
70,Свалка,с.Запроточное,"0,5",Октябрьский муниципальный район,Запроточное,"43,910161","131,60716"
119,свалка,с.Губерово,"2,5",Пожарский муниципальный район,Губерово,"46,201796","133,95364"
22,Свалка ,с.Гражданка ,"1,5",Анучинский муниципальный район,Гражданка ,"44,214155","133,175223"
55, хвостохранилище ,с.Высокогорск ,"8,2",Кавалеровский муниципальный район,Высокогорск ,"44,405567","135,396523"
18,Свалка ,с.Виноградовка,2,Анучинский муниципальный район,Виноградовка,"43,761527","132,952036"
